001 	- 	- 	
002 	3 	2
003 	2 	1
004 	- 	-
005 	9 	4
006 	5 	2
007 	8 	3
008 	3 	1
009 	- 	-
010 	19 	6
011 	10 	3
012 	7 	2
013 	649 	180
014 	15 	4
015 	4 	1
016 	- 	-
017 	33 	8
018 	17 	4
019 	170 	39
020 	9 	2
021 	55 	12
022 	197 	42
023 	24 	5
024 	5 	1
025 	- 	-
026 	51 	10
027 	26 	5
028 	127 	24
029 	9801 	1820
030 	11 	2
031 	1520 	273
032 	17 	3
033 	23 	4
034 	35 	6
035 	6 	1
036 	- 	-
037 	73 	12
038 	37 	6
039 	25 	4
040 	19 	3
041 	2049 	320
042 	13 	2
043 	3482 	531
044 	199 	30
045 	161 	24
046 	24335 	3588
047 	48 	7
048 	7 	1
049 	- 	-
050 	99 	14
051 	50 	7
052 	649 	90
053 	66249 	9100
054 	485 	66
055 	89 	12
056 	15 	2
057 	151 	20
058 	19603 	2574
059 	530 	69
060 	31 	4
061 	1766319049 	226153980
062 	63 	8
063 	8 	1
064 	- 	-
065 	129 	16
066 	65 	8
067 	48842 	5967
068 	33 	4
069 	7775 	936
070 	251 	30
071 	3480 	413
072 	17 	2
073 	2281249 	267000
074 	3699 	430
075 	26 	3
076 	57799 	6630
077 	351 	40
078 	53 	6
079 	80 	9
080 	9 	1
081 	- 	-
082 	163 	18
083 	82 	9
084 	55 	6
085 	285769 	30996
086 	10405 	1122
087 	28 	3
088 	197 	21
089 	500001 	53000
090 	19 	2
091 	1574 	165
092 	1151 	120
093 	12151 	1260
094 	2143295 	221064
095 	39 	4
096 	49 	5
097 	62809633 	6377352
098 	99 	10
099 	10 	1
100 	- 	-
101 	201 	20
102 	101 	10
103 	227528 	22419
104 	51 	5
105 	41 	4
106 	32080051 	3115890
107 	962 	93
108 	1351 	130
109 	158070671986249 	15140424455100
110 	21 	2
111 	295 	28
112 	127 	12
113 	1204353 	113296
114 	1025 	96
115 	1126 	105
116 	9801 	910
117 	649 	60
118 	306917 	28254
119 	120 	11
120 	11 	1
121 	- 	-
122 	243 	22
123 	122 	11
124 	4620799 	414960
125 	930249 	83204
126 	449 	40
127 	4730624 	419775
128 	577 	51
